"Tray","Range","Plot","Rep","Entry","Spike_image_number","Anther_image_number","Awn_or_awnless","Reps_matching","Variety","Days_to_heading","Date_of_anther_sampling","Number_of_heads_for_yield_comps","Number_of_heads_for_anthers","Number_of_heads_for_spikelets","Weight_g","Number_of_seeds","Spikelets_per_image","Number_of_anthers","Area_of_anthers_per_spike","Number_of_anthers_per_spike","Area_per_anther","Area_per_spike","Thousand_kernel_weight","Kernels_per_spike","Spikelets_per_spike"
2,10,117,1,"HG18571","IMG-0262.JPG",NA,0,1,"NC14-20658",118,NA,10,NA,6,20.2,545,116,NA,NA,NA,NA,693.5866667,37.0642201834862,54.5,19.3333333333333
2,7,105,1,"HG18057","IMG-0263.JPG","DSC-0336.JPG",1,1,"AR99015-3-1",116,121,10,4,6,14.1,449,119,44,5.09,11,0.462727272727273,733.2806667,31.4031180400891,44.9,19.8333333333333
2,16,142,1,"HG18199","IMG-0264.JPG",NA,1,1,"LA01034D-42-3-C",120,NA,11,NA,6,20,540,114,NA,NA,NA,NA,873.6838333,37.037037037037,49.0909090909091,19
3,1,164,1,"Check","IMG-0265.JPG","DSC-0056.JPG",1,1,"Hilliard",116,119,10,4,6,22.6,620,120,33,3.8,8.25,0.460606060606061,1264.910833,36.4516129032258,62,20
3,1,161,1,"Check","IMG-0266.JPG","DSC-0340.JPG",1,1,"AGS2055",118,121,9,4,6,23.7,593,124,72,13.52,18,0.751111111111111,1322.2305,39.9662731871838,65.8888888888889,20.6666666666667
2,5,97,1,"HG18178","IMG-0267.JPG","DSC-0773.JPG",0,1,"GA07144-LE16",121,123,10,4,6,13.9,468,114,94,10.35,23.5,0.440425531914894,650.8668333,29.7008547008547,46.8,19
2,1,83,1,"Check","IMG-0268.JPG","DSC-0062.JPG",1,1,"Jamestown",116,119,10,4,6,10.5,315,119,48,3.8,12,0.316666666666667,997.039,33.3333333333333,31.5,19.8333333333333
2,5,98,1,"HG18296","IMG-0269.JPG","DSC-0125.JPG",0,1,"NC06-20401",118,120,10,4,6,12.6,338,101,54,4.11,13.5,0.304444444444444,584.9556667,37.2781065088757,33.8,16.8333333333333
3,12,208,1,"HG18160","IMG-0270.JPG",NA,1,1,"GA051754-12LE13",120,NA,10,NA,6,16,471,123,NA,NA,NA,NA,1384.1645,33.9702760084926,47.1,20.5
2,9,115,1,"HG18216","IMG-0271.JPG","DSC-0066.JPG",1,1,"LA01140D-163",116,119,10,4,6,20,520,102,58,6.06,14.5,0.417931034482759,896.8301667,38.4615384615385,52,17
2,14,134,1,"HG18028","IMG-0272.JPG","DSC-0844.JPG",1,1,"AR05067-1-2",120,123,10,4,6,23.8,599,106,34,2.74,8.5,0.322352941176471,862.6163333,39.7328881469115,59.9,17.6666666666667
3,13,209,1,"HG18416","IMG-0273.JPG","DSC-0351.JPG",1,1,"TX14D8130",118,121,10,4,6,19.4,564,126,81,9.29,20.25,0.458765432098765,1731.402333,34.3971631205674,56.4,21
2,16,143,1,"HG18505","IMG-0274.JPG",NA,1,1,"AR08057-5-1",119,NA,12,NA,6,23.8,661,115,NA,NA,NA,NA,947.2993333,36.0060514372163,55.0833333333333,19.1666666666667
2,1,84,1,"Check","IMG-0276.JPG","DSC-0118.JPG",1,1,"Hilliard",117,120,10,4,6,12.1,387,118,38,2.33,9.5,0.245263157894737,953.9436667,31.266149870801,38.7,19.6666666666667
3,11,202,1,"HG18476","IMG-0277.JPG",NA,1,1,"FLLA10033C-6",121,NA,10,NA,6,20.4,513,112,NA,NA,NA,NA,1145.234667,39.766081871345,51.3,18.6666666666667
2,2,86,1,"HG18052","IMG-0278.JPG",NA,1,1,"AR98088-1-2",119,NA,10,NA,6,12.3,380,108,NA,NA,NA,NA,868.6061667,32.3684210526316,38,18
3,12,205,1,"HG18569","IMG-0279.JPG",NA,0,1,"NC14-20369",119,NA,10,NA,6,12.9,438,124,NA,NA,NA,NA,665.8235,29.4520547945205,43.8,20.6666666666667
2,4,96,1,"HG18212","IMG-0280.JPG",NA,1,1,"LA01138D-55",NA,NA,10,NA,6,18.4,484,121,NA,NA,NA,NA,1267.000167,38.0165289256198,48.4,20.1666666666667
2,13,132,1,"HG18125","IMG-0281.JPG",NA,1,1,"GA011493-8E18",122,NA,10,NA,6,17.9,455,96,NA,NA,NA,NA,838.7261667,39.3406593406593,45.5,16
3,4,175,1,"HG18196","IMG-0282.JPG",NA,1,1,"LA01005D-2-2-C",118,NA,10,NA,6,17,488,116,NA,NA,NA,NA,1090.286333,34.8360655737705,48.8,19.3333333333333
2,13,130,1,"HG18431","IMG-0283.JPG","DSC-0839.JPG",1,1,"TXGA06343-17-3-5-EL2",120,123,10,4,6,18.4,474,106,79,8.99,19.75,0.455189873417722,962.5078333,38.8185654008439,47.4,17.6666666666667
2,8,111,1,"HG18037","IMG-0284.JPG","DSC-0337.JPG",1,1,"AR06017-6-2",118,121,10,4,6,17.8,471,114,83,3.73,20.75,0.179759036144578,1122.085167,37.791932059448,47.1,19
2,8,109,1,"HG18130","IMG-0286.JPG",NA,1,1,"GA021338-9E15",122,NA,10,NA,6,19.9,572,134,NA,NA,NA,NA,1113.989167,34.7902097902098,57.2,22.3333333333333
2,8,112,1,"HG18347","IMG-0287.JPG","DSC-0794.JPG",1,0,"NC12-21568",120,123,10,4,6,17.2,491,123,113,14.92,28.25,0.528141592920354,764.1291667,35.030549898167,49.1,20.5
2,12,128,1,"HG18182","IMG-0288.JPG",NA,1,1,"GA07248-14E18",118,NA,10,NA,6,22.6,673,114,NA,NA,NA,NA,1337.740833,33.5809806835067,67.3,19
1,1,2,1,"Check","IMG-0289.JPG","DSC-0579.JPG",0,1,"SS8641",118,121,10,4,6,15.8,502,118,63,7.5,15.75,0.476190476190476,734.6536667,31.4741035856574,50.2,19.6666666666667
3,9,193,1,"HG18389","IMG-0290.JPG",NA,1,1,"TX12D4625",119,NA,9,NA,6,25.8,633,118,NA,NA,NA,NA,1283.607833,40.7582938388626,70.3333333333333,19.6666666666667
3,12,206,1,"HG18103","IMG-0291.JPG",NA,1,1,"FLLA09184C-24",120,NA,10,NA,6,16,466,126,NA,NA,NA,NA,1179.904667,34.3347639484979,46.6,21
2,9,113,1,"HG18014","IMG-0292.JPG","DSC-0818.JPG",1,1,"AR01205-1-1",121,123,12,4,6,19.2,665,107,79,6.8,19.75,0.344303797468354,718.2285,28.8721804511278,55.4166666666667,17.8333333333333
2,3,90,1,"HG18447","IMG-0293.JPG",NA,0,1,"VA09W-73",116,NA,10,NA,6,13.1,380,101,NA,NA,NA,NA,500.9678333,34.4736842105263,38,16.8333333333333
2,2,85,1,"HG18127","IMG-0295.JPG","DSC-0539.JPG",1,1,"GA021087-9LE33",118,121,10,4,6,10.7,283,106,28,1.99,7,0.284285714285714,695.5698333,37.8091872791519,28.3,17.6666666666667
2,6,101,1,"HG18190","IMG-0296.JPG","DSC-0335.JPG",1,1,"GA08510-EL9",118,121,10,4,6,14.7,466,99,56,6.13,14,0.437857142857143,866.7708333,31.5450643776824,46.6,16.5
2,9,114,1,"HG18518","IMG-0297.JPG","DSC-0848.JPG",1,1,"ARLW08160D-20-1",121,123,10,3,6,14.2,445,106,28,2.01,9.33333333333333,0.215357142857143,636.6373333,31.9101123595506,44.5,17.6666666666667
2,4,94,1,"HG18156","IMG-0298.JPG","DSC-0772.JPG",0,1,"GA051033-13LE14",120,123,11,4,6,16.5,511,106,80,10.63,20,0.5315,543.958,32.2896281800391,46.4545454545455,17.6666666666667
